Source,Target,Weight
Lotus,PallMallBudget,1
Lotus,PallMallGazette,1
Lotus,PallMallMagazine,6
Lotus,ParisFigaro,1
Lotus,PassingShow,1
Lotus,PennyMagazine,2
Lotus,Philistine,29
Lotus,PJdeR,2
Lotus,PosterLore,4
Lotus,ScribnersMagazine,3
Lotus,Truth,1
Lotus,Vogue,1
Lotus,WesternCollegeMagazine,1
Lotus,YellowBook,14
Lotus,YouthsCompanion,1
MlleNY,Century,1
MlleNY,DailyChronicle,1
MlleNY,LaRevueBlanche,1
MlleNY,Pan,1
MlleNY,PoliceGazette,1
Philistine,Arena,2
Philistine,Atlantic,4
Philistine,BachelorofArts,2
Philistine,Baseburner,1
Philistine,Basis,4
Philistine,Bauble,2
Philistine,Bibelot,3
Philistine,Bloxams,1
Philistine,Bookman,3
Philistine,Bookmans,2
Philistine,BostonPost,1
Philistine,BuffaloCommercial,1
Philistine,BuffaloCourier,1
Philistine,BuffaloExpress,2
Philistine,BuffaloNews,1
Philistine,Century,7
Philistine,Chap-Book,17
Philistine,ChicagoPost,1
Philistine,ChicagoTimesHerald,1
Philistine,Chips,1
Philistine,ChristianHerald,1
Philistine,ClackBook,1
Philistine,Commonwealth,2
Philistine,Cosmopolitan,1
Philistine,Dial,1
Philistine,Echo,3
Philistine,EveryMonth,1
Philistine,Fad,1
Philistine,Fliegende Blaetter,1
Philistine,FlyLeaf,1
Philistine,Footlights,5
Philistine,Form,1
Philistine,Forum,4
Philistine,GentlemansMagazine,1
Philistine,Germ,1
Philistine,GilBlas,1
Philistine,GlobeReview,1
Philistine,Godeys,1
Philistine,Harpers,8
Philistine,HarpersWeekly,2
Philistine,Judge,2
Philistine,KateFieldsWashington,1
Philistine,La Rire,1
Philistine,LadiesHomeJournal,14
Philistine,LandofSunshine,1
Philistine,Lark,4
Philistine,Lettuce,1
Philistine,Lippincotts,1
Philistine,LiteraryDigest,1
Philistine,LittleJourneys,5
Philistine,LondonAtheneum,2
Philistine,LondonEcho,1
Philistine,Lotos,2
Philistine,Lotus,2
Philistine,Magpie,1
Philistine,McClures,6
Philistine,MlleNewYork,2
Philistine,ModernArt,4
Philistine,Moods,1
Philistine,Munseys,5
Philistine,NewBohemian,1
Philistine,NewCycle,1
Philistine,NewYorkJournal,2
Philistine,NewYorkSun,2
Philistine,NewYorkTribune,3
Philistine,NewYorkWorld,1
Philistine,Outlook,1
Philistine,Outlook!,1
Philistine,OverlandMonthly,1
Philistine,PallMallGazette,2
Philistine,Paragraphs,2
Philistine,Petersons,1
Philistine,PopularScienceMonthly,1
Philistine,PrarieDog,1
Philistine,PrintersInk,1
Philistine,Puck,1
Philistine,Pucks,1
Philistine,Reedy'sMirror,1
Philistine,ReedysMirror,3
Philistine,RevuedesModes,1
Philistine,Scribners,7
Philistine,Vogue,1
Philistine,WashingtonCapital,1
Philistine,Wheels,1
Philistine,Whims,1
Philistine,Writer,2
Philistine,YellowBook,1
Philistine,YoungLadiesMagazine,1
Philistine,YourthsCompanion,1
Philosopher,AntiPhilistine,1
Philosopher,Chap-Book,3
Philosopher,ClackBook,1
Philosopher,Criterion,1
Philosopher,FlyLeaf,1
Philosopher,Lark,1
Philosopher,Lotus,1
Philosopher,Philistine,1
Phyllida,Chap-Book,1
Phyllida,LadiesHomeJournal,1
Phyllida,Lark,1
Phyllida,Savoy,1
Phyllida,Tatler,1
PJdeR,AmericanJouranlofInsanity,2
PJdeR,Anthropophagian,2
PJdeR,Babyland,1
PJdeR,BachelorofArts,1
PJdeR,Bauble,2
PJdeR,Bibelot,3
PJdeR,Bookman,1
PJdeR,BoysofNewYork,1
PJdeR,ButchersAdvocate,1
PJdeR,Chap-Book,3
PJdeR,Chips,1
PJdeR,Congregationalist,1
PJdeR,Echo,3
PJdeR,FlyLeaf,2
PJdeR,HarvardLampoon,1
PJdeR,Lark,4
PJdeR,Life,1
PJdeR,Lotus,1
PJdeR,MlleNY,2
PJdeR,NewReview,2
PJdeR,Olio,1
PJdeR,Philistine,3
PJdeR,PolynesianMonitor,2
PJdeR,PurpleCow,3
PJdeR,SanFranciscoClimax,2
PJdeR,StNicholas,1
PJdeR,WarCry,1
PJdeR,YellowBook,1
QuartierLatin,Anti-Philistine,1
QuartierLatin,ArtInterchange,1
QuartierLatin,AtlanticMonthly,1
QuartierLatin,BelfastNewsLetter,1
QuartierLatin,Bibelot,1
QuartierLatin,BirminghamPost,1
QuartierLatin,Chap-Book,4
QuartierLatin,ChicagoInter-Ocean,1
QuartierLatin,CorkExaminer,1
QuartierLatin,Cosmopolitan,1
QuartierLatin,DailyMail,1
QuartierLatin,EastAnglianTimes,1
QuartierLatin,EnglishandAmericanGazette,1
QuartierLatin,Figaro,2
QuartierLatin,FrenchandEnglishGazette,1
QuartierLatin,HampshireAdvertiser,1
QuartierLatin,Harpers,1
QuartierLatin,HearthandHome,1
QuartierLatin,JournaldesArtistes,1
QuartierLatin,L'ArtetlaMode,1
QuartierLatin,L'EuropeArtiste,1
QuartierLatin,LabourLeader,1
QuartierLatin,Lark,1
QuartierLatin,LaVieParisienne,1
QuartierLatin,LesAnnalesPolitiquesetLiteraires,1
QuartierLatin,LiteraryReview,2
QuartierLatin,LondonLiteraryWorld,1
QuartierLatin,LondonStar,1
QuartierLatin,LondonStationeryTrades'Journal,1
QuartierLatin,Lotus,1
QuartierLatin,ManchesterCourier,1
QuartierLatin,McCluresMagazine,1
QuartierLatin,MedicalCourier,1
QuartierLatin,Nation,1
QuartierLatin,NewOrleansDailyStates,1
QuartierLatin,NewOrleansPicayune,1
QuartierLatin,NewOrleansStates,1
QuartierLatin,NewOrleansTimesDemocrat,2
QuartierLatin,NewYorkHerald,3
QuartierLatin,NewYorkWorld,4
QuartierLatin,PallMallMagazine,1
QuartierLatin,Parisian,1
QuartierLatin,PetitJournal,1
QuartierLatin,PhiladelphiaInquirer,1
QuartierLatin,Philistine,2
QuartierLatin,Publisher'sCircular,1
QuartierLatin,Queen,1
QuartierLatin,RevuedesDeuxMondes,1
QuartierLatin,SheffieldandRotherhamIndependent,1
QuartierLatin,SheffieldIndependent,1
QuartierLatin,Studio,1
QuartierLatin,WesternDailyMercury,2
QuartierLatin,WestminsterBudget,3
QuartierLatin,What-not,1
QuartierLatin,YellowBook,1
Savoy,PallMallGazette,2
Savoy,PJdeR,1
Symposium,Bookman,1
Symposium,Century,1
Symposium,Chap-Book,1
Symposium,Critic,1
Symposium,Harpers,2
Symposium,HarpersBazar,1
Symposium,HarpersWeekly,1
Symposium,LadiesHomeJournal,1
Symposium,McClures,1
Symposium,Munseys,1
Symposium,Puck,1
Symposium,ReviewofReviews,1
Symposium,ScribnersMagazine,2
Vogue,Argonaut,1
Vogue,Bookman,1
Vogue,Century,1
Vogue,EveningPost,1
Vogue,Harpers,2
Vogue,HarpersBazar,1
Vogue,HarpersWeekly,1
Vogue,LadiesHomeJournal,1
Vogue,LondonQueen,1
Vogue,NewYorkSun,1
Vogue,StNicholas,1
Vogue,WestminsterGazette,1
Wave,Argonaut,1
Wave,BlackandWhite,1
Wave,BlackCat,1
Wave,BlackwoodsMagazine,1
Wave,Bookman,4
Wave,Bulletin,1
Wave,Call,2
Wave,Century,1
Wave,Chap-Book,12
Wave,ChapmansMagazine,1
Wave,Chronicle,1
Wave,Cosmopolitan,5
Wave,Echo,1
Wave,EnglishIllustratedMagazine,1
Wave,Figaro,4
Wave,FlyLeaf,3
Wave,FreakMagazine,1
Wave,GodeysMagazine,1
Wave,Harpers,6
Wave,HarpersWeekly,3
Wave,IllustratedNews,2
Wave,JournaldesDebats,1
Wave,LadiesHomeJournal,9
Wave,Lark,7
Wave,LippincottsMagazine,1
Wave,McClures,3
Wave,OverlandMonthly,1
Wave,Pageant,1
Wave,PallMallBudget,1
Wave,PallMallGazette,3
Wave,PallMallMagazine,1
Wave,PJdeR,4
Wave,PocketMagazine,1
Wave,Puck,4
Wave,QuartierLatin,1
Wave,ReviewofReviews,1
Wave,RevuedesDeuxMondes,1
Wave,SaturdayReview,1
Wave,Savoy,6
Wave,ScribnersMagazine,2
Wave,StNicholas,2
Wave,Traveler,1
Wave,Vogue,1
Wave,YellowBook,8
Whims,AmericanArtJournal,5
Whims,BachelorofArts,1
Whims,Century,1
Whims,Echo,3
Whims,Footlights,4
Whims,Harpers,1
Whims,HomeandCountry,2
Whims,McClures,2
Whims,MissBlueStocking,1
Whims,MlleNY,1
Whims,MonthlyIllustrator,2
Whims,Munseys,2
Whims,PennyMagazine,1
Whims,Philistine,2
YellowBook,AssociatedPress,1
YellowBook,BookWorld,1
YellowBook,Hour,3
YellowBook,MorningGazette,3
YellowBook,PallMallGazette,3
YellowBook,Parthenon,1
YellowBook,PicadillyBudget,1
YellowBook,Punch,1
YellowBook,SaturdayReview,5
